date,Daily Total
2015-10-09,5548
2015-10-10,4554
2015-10-11,4520
2015-10-12,4046
2015-10-13,5370
2015-10-14,5640
2015-10-15,4988
2015-10-16,5670
2015-10-17,4618
2015-10-18,4718
2015-10-19,4831
2015-10-20,4489
2015-10-21,4909
2015-10-22,4990
2015-10-23,4781
2015-10-24,3990
2015-10-25,4457
2015-10-26,4831
2015-10-27,3877
2015-10-28,3793
2015-10-29,4603
2015-10-30,5461
2015-10-31,2816
2015-11-01,4364
2015-11-02,4513
2015-11-03,4767
2015-11-04,4619
2015-11-05,4722
2015-11-06,4675
2015-11-07,4470
2015-11-08,4195
2015-11-09,4934
2015-11-10,4860
2015-11-11,3380
2015-11-12,3837
2015-11-13,3890
2015-11-14,4409
2015-11-15,4194
2015-11-16,4145
2015-11-17,3271
2015-11-18,3473
2015-11-19,4016
2015-11-20,4475
2015-11-21,1533
2015-11-22,2680
2015-11-23,3532
2015-11-24,4221
2015-11-25,3418
2015-11-26,3851
2015-11-27,2880
2015-11-28,4138
2015-11-29,4066
2015-11-30,3676
2015-12-01,4073
2015-12-02,3463
2015-12-03,3781
2015-12-04,4642
2015-12-05,4174
2015-12-06,4102
2015-12-07,3656
2015-12-08,4050
2015-12-09,4354
2015-12-10,4184
2015-12-11,4476
2015-12-12,3550
2015-12-13,3046
2015-12-14,3393
2015-12-15,3755
2015-12-16,3504
2015-12-17,4428
2015-12-18,4845
2015-12-19,4341
2015-12-20,4199
2015-12-21,2622
2015-12-22,3277
2015-12-23,3022
2015-12-24,4578
2015-12-25,4822
2015-12-26,3441
2015-12-27,4207
2015-12-28,1178
2015-12-29,2480
2015-12-30,2688
2015-12-31,3726
2016-01-01,3916
2016-01-02,3858
2016-01-03,3680
2016-01-04,3552
2016-01-05,3912
2016-01-06,3739
2016-01-07,3906
2016-01-08,3123
2016-01-09,2901
2016-01-10,3827
2016-01-11,3378
2016-01-12,2978
2016-01-13,3125
2016-01-14,4003
2016-01-15,3579
2016-01-16,4131
2016-01-17,3990
2016-01-18,3704
2016-01-19,4324
2016-01-20,3809
2016-01-21,4167
2016-01-22,3662
2016-01-23,4131
2016-01-24,3711
2016-01-25,3642
2016-01-26,3495
2016-01-27,4027
2016-01-28,3822
2016-01-29,4675
2016-01-30,4088
2016-01-31,3395
2016-02-01,4020
2016-02-02,2434
2016-02-03,3269
2016-02-04,4337
2016-02-05,3459
2016-02-06,4282
2016-02-07,4144
2016-02-08,3512
2016-02-09,3658
2016-02-10,4164
2016-02-11,4372
2016-02-12,4632
2016-02-13,4896
2016-02-14,2895
2016-02-15,2935
2016-02-16,3812
2016-02-17,4383
2016-02-18,4084
2016-02-19,4765
2016-02-20,4580
2016-02-21,4105
2016-02-22,4274
2016-02-23,4551
2016-02-24,2273
2016-02-25,3973
2016-02-26,4450
2016-02-27,4735
2016-02-28,4257
2016-02-29,4207
2016-03-01,2712
2016-03-02,4301
2016-03-03,3730
2016-03-04,4944
2016-03-05,4189
2016-03-06,4515
2016-03-07,4471
2016-03-08,4658
2016-03-09,3918
2016-03-10,4493
2016-03-11,4980
2016-03-12,4716
2016-03-13,3253
2016-03-14,4318
2016-03-15,4353
2016-03-16,4722
2016-03-17,4958
2016-03-18,5109
2016-03-19,4955
2016-03-20,4824
2016-03-21,4761
2016-03-22,4384
2016-03-23,4153
2016-03-24,3235
2016-03-25,4540
2016-03-26,5310
2016-03-27,5028
2016-03-28,4929
2016-03-29,4886
2016-03-30,4256
2016-03-31,4378
2016-04-01,3963
2016-04-02,4592
2016-04-03,5079
2016-04-04,4103
2016-04-05,4706
2016-04-06,3286
2016-04-07,4459
2016-04-08,3934
2016-04-09,5260
2016-04-10,3964
2016-04-11,4861
2016-04-12,4888
2016-04-13,4529
2016-04-14,4733
2016-04-15,5786
2016-04-16,5790
2016-04-17,5193
2016-04-18,3843
2016-04-19,3570
2016-04-20,3967
2016-04-21,4106
2016-04-22,4573
2016-04-23,5567
2016-04-24,5062
2016-04-25,4857
2016-04-26,4202
2016-04-27,4162
2016-04-28,4455
2016-04-29,5203
2016-04-30,3772
2016-05-01,4458
2016-05-02,4789
2016-05-03,4776
2016-05-04,4460
2016-05-05,5116
2016-05-06,5871
2016-05-07,5156
2016-05-08,5485
2016-05-09,3874
2016-05-10,3810
2016-05-11,4825
2016-05-12,4576
2016-05-13,5245
2016-05-14,5118
2016-05-15,5095
2016-05-16,4869
2016-05-17,4500
2016-05-18,5214
2016-05-19,5400
2016-05-20,5091
2016-05-21,5519
2016-05-22,5108
2016-05-23,4997
2016-05-24,5067
2016-05-25,4592
2016-05-26,5076
2016-05-27,5007
2016-05-28,5201
2016-05-29,5437
2016-05-30,5081
2016-05-31,4482
2016-06-01,4450
2016-06-02,5058
2016-06-03,5134
2016-06-04,4275
2016-06-05,4952
2016-06-06,4687
2016-06-07,4668
2016-06-08,4856
2016-06-09,4170
2016-06-10,5832
2016-06-11,5822
2016-06-12,5006
2016-06-13,4855
2016-06-14,4484
2016-06-15,5238
2016-06-16,4906
2016-06-17,5919
2016-06-18,5307
2016-06-19,5477
2016-06-20,5138
2016-06-21,5312
2016-06-22,3527
2016-06-23,4153
2016-06-24,4848
2016-06-25,5662
2016-06-26,5056
2016-06-27,4353
2016-06-28,4153
2016-06-29,4520
2016-06-30,4418
2016-07-01,4865
2016-07-02,5044
2016-07-03,5209
2016-07-04,5036
2016-07-05,4702
2016-07-06,4422
2016-07-07,4305
2016-07-08,5160
2016-07-09,5164
2016-07-10,5049
2016-07-11,4912
2016-07-12,4743
2016-07-13,4510
2016-07-14,5173
2016-07-15,5011
2016-07-16,5364
2016-07-17,4724
2016-07-18,4753
2016-07-19,4796
2016-07-20,4850
2016-07-21,4755
2016-07-22,5497
2016-07-23,4856
2016-07-24,4663
2016-07-25,4915
2016-07-26,4848
2016-07-27,4857
2016-07-28,4607
2016-07-29,4793
2016-07-30,5057
2016-07-31,5162
2016-08-01,4744
2016-08-02,4484
2016-08-03,4791
2016-08-04,4736
2016-08-05,4719
2016-08-06,5466
2016-08-07,4851
2016-08-08,4126
2016-08-09,3832
2016-08-10,4207
2016-08-11,4386
2016-08-12,3569
2016-08-13,5165
2016-08-14,4848
2016-08-15,3606
2016-08-16,4248
2016-08-17,4222
2016-08-18,4271
2016-08-19,4416
2016-08-20,4617
2016-08-21,4878
2016-08-22,4399
2016-08-23,4302
2016-08-24,3808
2016-08-25,4132
2016-08-26,4450
2016-08-27,4794
2016-08-28,4790
2016-08-29,4022
2016-08-30,3723
2016-08-31,4395
2016-09-01,4115
2016-09-02,4720
2016-09-03,5114
2016-09-04,4826
2016-09-05,4565
2016-09-06,5314
2016-09-07,4726
2016-09-08,4742
2016-09-09,5182
2016-09-10,4801
2016-09-11,5004
2016-09-12,5327
2016-09-13,5292
2016-09-14,4893
2016-09-15,5629
2016-09-16,5332
2016-09-17,4893
2016-09-18,4902
2016-09-19,5282
2016-09-20,5294
2016-09-21,4003
2016-09-22,5007
2016-09-23,4848
2016-09-24,4881
2016-09-25,4568
2016-09-26,4723
2016-09-27,4705
2016-09-28,3811
2016-09-29,3981
2016-09-30,4317
2016-10-01,4145
2016-10-02,4553
2016-10-03,4238
2016-10-04,4385
2016-10-05,4675
2016-10-06,3631
2016-10-07,5157
2016-10-08,5081
2016-10-09,4762
2016-10-10,3956
2016-10-11,4882
2016-10-12,3722
2016-10-13,5084
2016-10-14,5420
2016-10-15,4830
2016-10-16,4096
2016-10-17,4802
2016-10-18,4915
2016-10-19,4720
2016-10-20,4591
2016-10-21,5094
2016-10-22,5480
2016-10-23,4995
2016-10-24,4893
2016-10-25,4652
2016-10-26,3255
2016-10-27,4669
2016-10-28,5290
2016-10-29,4826
2016-10-30,4573
2016-10-31,4907
2016-11-01,5026
2016-11-02,3774
2016-11-03,4885
2016-11-04,4952
2016-11-05,5427
2016-11-06,4949
2016-11-07,4809
2016-11-08,4349
2016-11-09,4536
2016-11-10,4632
2016-11-11,4514
2016-11-12,4945
2016-11-13,4777
2016-11-14,4609
2016-11-15,4565
2016-11-16,4755
2016-11-17,4891
2016-11-18,4368
2016-11-19,4895
2016-11-20,4797
2016-11-21,4657
2016-11-22,4408
2016-11-23,3402
2016-11-24,5170
2016-11-25,4313
2016-11-26,5008
2016-11-27,4644
2016-11-28,3114
2016-11-29,4223
2016-11-30,4173
2016-12-01,4172
2016-12-02,4487
2016-12-03,4547
2016-12-04,2619
2016-12-05,3765
2016-12-06,4111
2016-12-07,4466
2016-12-08,4522
2016-12-09,4784
2016-12-10,3816
2016-12-11,2137
2016-12-12,3113
2016-12-13,3663
2016-12-14,3933
2016-12-15,4333
2016-12-16,3597
2016-12-17,3014
2016-12-18,2919
2016-12-19,3486
2016-12-20,3539
2016-12-21,3595
2016-12-22,4209
2016-12-23,4254
2016-12-24,4021
2016-12-25,3829
2016-12-26,4023
2016-12-27,3727
2016-12-28,3743
2016-12-29,3608
2016-12-30,4155
2016-12-31,4680
2017-01-01,4558
2017-01-02,3078
2017-01-03,2828
2017-01-04,3545
2017-01-05,3576
2017-01-06,3880
2017-01-07,4357
2017-01-08,4286
2017-01-09,3520
2017-01-10,2646
2017-01-11,2026
2017-01-12,1347
2017-01-13,3148
2017-01-14,3904
2017-01-15,3545
2017-01-16,2340
2017-01-17,3253
2017-01-18,3275
2017-01-19,3410
2017-01-20,3522
2017-01-21,4296
2017-01-22,3647
