address,Total,First Ticket Date,Last Ticket Date,Days,Daily Avg
57 E 95TH,7579,3/5/2014,4/27/2018,1515,5.002640264
5700 S CORNELL DRIVE,4845,3/10/2014,3/5/2015,361,13.42105263
5739 N NORTHWEST HWY,9945,10/23/2014,4/27/2018,1283,7.751363991
5816 W JACKSON,113250,3/1/2014,4/27/2018,1519,74.5556287
5885 N RIDGE AVE,43759,5/1/2014,4/27/2018,1458,30.01303155
5930 N CLARK STREET,12211,3/1/2014,4/27/2018,1519,8.038841343
600 S CICERO AVENUE,6992,3/3/2014,4/27/2018,1517,4.609096902
6000 N CALIFORNIA AVE,968,3/1/2014,4/26/2018,1518,0.637681159
6000 N CICERO AVENUE,4818,3/1/2014,4/27/2018,1519,3.171823568
6000 N PULASKI ROAD,1467,3/1/2014,5/31/2017,1188,1.234848485
6000 N WESTERN AVE,5239,3/1/2014,4/27/2018,1519,3.448979592
6000 W ADDISON STREET,2390,3/2/2014,4/26/2018,1517,1.575477917
6000 W DIVERSEY AVENUE,4660,3/1/2014,4/26/2018,1518,3.069828722
6000 W IRVING PARK ROAD,2959,3/1/2014,4/27/2018,1519,1.9479921
6125 N CICERO AVE,13780,4/30/2014,4/27/2018,1459,9.444825223
62 E 95TH,16027,3/1/2014,4/27/2018,1519,10.55102041
6200 N KIMBALL AVENUE,531,3/1/2014,3/5/2015,370,1.435135135
6200 N LINCOLN AVENUE,7303,3/1/2014,3/5/2015,370,19.73783784
6226 W IRVING PARK RD,65222,6/9/2014,4/27/2018,1419,45.96335447
6247 W FULLERTON,21074,3/1/2014,4/27/2018,1519,13.87360105
6250 W FULLERTON,21203,3/1/2014,4/27/2018,1519,13.95852535
628 N MICHIGAN AVE,1301,2/5/2018,4/27/2018,82,15.86585366
629 S STATE,18289,3/3/2014,4/27/2018,1517,12.05603164
630 S STATE,10832,3/3/2014,4/27/2018,1517,7.140408701
6300 S ASHLAND AVE,1028,3/2/2014,3/5/2015,369,2.785907859
6300 S DAMEN AVENUE,8554,3/1/2014,4/27/2018,1519,5.631336406
6300 S HALSTED STREET,1433,3/1/2014,3/5/2015,370,3.872972973
6300 S KEDZIE AVE,1976,3/3/2014,4/24/2018,1514,1.305151915
6300 S PULASKI RD,9329,3/1/2014,4/27/2018,1519,6.141540487
6300 S STATE ST,7315,3/1/2014,4/27/2018,1519,4.815668203
6300 S WESTERN AVE,2111,3/1/2014,4/27/2018,1519,1.389730086
6330 S MARTIN LUTHER KING,14657,11/10/2014,4/27/2018,1265,11.58656126
6400 N CALIFORNIA AVE,2589,3/1/2014,4/22/2018,1514,1.71003963
6400 N HARLEM AVE,1138,3/1/2014,3/5/2015,370,3.075675676
6400 N MILWAUKEE AVEN,3790,3/1/2014,4/27/2018,1519,2.495062541
6400 N SHERIDAN ROAD,10970,3/3/2014,4/27/2018,1517,7.231377719
6400 N WESTERN AVENUE,4684,3/1/2014,4/27/2018,1519,3.083607637
6400 W ARCHER AVE,4363,3/1/2014,3/5/2015,370,11.79189189
6400 W DEVON AVENUE,6099,3/12/2014,4/27/2018,1508,4.044429708
6400 W FOSTER,1649,3/18/2014,4/26/2018,1501,1.098600933
6400 W FULLERTON AVENU,11392,3/1/2014,4/27/2018,1519,7.499670836
6400 W IRVING PK,6849,3/1/2014,4/27/2018,1519,4.508887426
6443 W BELMONT AVE,1534,4/23/2014,4/27/2018,1466,1.04638472
6510 W BRYN MAWR AVE,17770,10/20/2014,4/27/2018,1286,13.81804044
6514 W BELMONT AVE,2383,4/23/2014,4/27/2018,1466,1.625511596
6523 N WESTERN,62205,3/1/2014,4/27/2018,1519,40.95128374
6700 S CORNELL DRIVE,14319,3/3/2014,4/27/2018,1517,9.43902439
6700 S STONY ISLAND A,12290,3/1/2014,4/27/2018,1519,8.090849243
6700 S WESTERN AVENUE,7666,3/2/2014,4/27/2018,1518,5.050065876
6800 N WESTERN AVENUE,2790,3/1/2014,3/5/2015,370,7.540540541
6800 W GRAND AVENUE,14543,3/1/2014,5/31/2017,1188,12.24158249
6818 S KEDZIE,62490,3/1/2014,4/27/2018,1519,41.13890718
6909 S KEDZIE,87249,3/1/2014,4/27/2018,1519,57.43844635
7100 S ASHLAND,4566,3/1/2014,4/27/2018,1519,3.005924951
7100 S COTTAGE GROVE,5618,3/1/2014,4/27/2018,1519,3.698485846
7100 S KEDZIE AVENUE,4993,3/1/2014,4/27/2018,1519,3.287030941
7100 S WESTERN AVENUE,5545,3/6/2014,5/30/2017,1182,4.691201354
7200 N WESTERN AVENUE,3990,3/1/2014,4/27/2018,1519,2.626728111
7200 W ADDISON,2300,3/1/2014,4/27/2018,1519,1.514154049
7200 W BELMONT AVE,5070,3/1/2014,4/27/2018,1519,3.337722186
732 N PULASKI RD,16855,5/7/2014,4/27/2018,1452,11.60812672
7422 S JEFFERY,19491,3/10/2014,4/27/2018,1510,12.90794702
7432 W TOUHY AVENUE,4058,3/1/2014,4/27/2018,1519,2.671494404
7500 S STATE STREET,13541,3/1/2014,4/27/2018,1519,8.91441738
7518 S VINCENNES,22350,4/2/2014,4/27/2018,1487,15.03026227
7600 S STONY ISLAND A,39517,3/4/2014,4/27/2018,1516,26.06662269
7738 S WESTERN,18333,3/3/2014,4/27/2018,1517,12.08503626
7739 S WESTERN,25803,3/3/2014,4/27/2018,1517,17.00922874
7826 S PULASKI,5986,3/31/2014,4/27/2018,1489,4.02014775
7833 S PULASKI,25759,3/31/2014,4/27/2018,1489,17.29952989
7900 S HALSTED STREET,5746,3/1/2014,4/27/2018,1519,3.78275181
7900 S JEFFERY BOULEV,711,3/1/2014,3/5/2015,370,1.921621622
7900 S KEDZIE AVE,413,3/1/2014,4/25/2018,1517,0.272247858
7900 S PULASKI ROAD,3684,3/1/2014,4/27/2018,1519,2.425279789
7900 S SOUTH CHICAGO AVE,886,3/6/2014,4/26/2018,1513,0.58559154
7900 S STATE STREET,7817,3/1/2014,4/27/2018,1519,5.146148782
7900 S STONEY ISLAND,3824,3/3/2014,4/25/2018,1515,2.524092409
7900 S WESTERN AVE,5190,4/12/2014,4/27/2018,1477,3.513879485
800 E 95TH STREET,2014,3/1/2014,3/5/2015,370,5.443243243
800 N CENTRAL AVENUE,4666,3/1/2014,4/27/2018,1519,3.071757735
800 N CICERO AVENUE,4332,3/5/2014,4/27/2018,1515,2.859405941
800 N PULASKI ROAD,2074,3/12/2014,4/22/2018,1503,1.379906853
800 N SACRAMENTO AVEN,9471,3/1/2014,4/27/2018,1519,6.235023041
800 N WESTERN AVE,3839,3/1/2014,4/27/2018,1519,2.527320606
800 W 103RD STREET,2848,3/1/2014,10/26/2017,1336,2.131736527
800 W 111TH ST,3503,3/1/2014,4/27/2018,1519,2.306122449
800 W 115TH STREET,3350,3/1/2014,10/25/2017,1335,2.509363296
800 W 119TH STREET,3267,3/1/2014,4/27/2018,1519,2.150757077
800 W 79TH STREET,3077,3/1/2014,4/27/2018,1519,2.025674786
800 W 99TH ST,14299,3/1/2014,4/27/2018,1519,9.413429888
800 W DIVISION,8585,3/1/2014,4/27/2018,1519,5.651744569
800 W FULLERTON AVENUE,5940,3/1/2014,4/27/2018,1519,3.910467413
800 W NORTH AVENUE,4483,3/1/2014,4/27/2018,1519,2.951283739
800 W ROOSEVELT ROAD,29225,3/1/2014,4/27/2018,1519,19.23963134
8300 S HALSTED STREET,2899,3/1/2014,3/5/2015,370,7.835135135
8300 S STONY ISLAND A,3776,3/1/2014,3/5/2015,370,10.20540541
8318 S ASHLAND AVE,37749,11/24/2014,4/27/2018,1251,30.17505995
8345 S ASHLAND AVE,32904,11/24/2014,4/27/2018,1251,26.30215827
848 W 87TH STREET,14233,3/1/2014,4/27/2018,1519,9.36998025
8700 S ASHLAND AVE,5835,3/1/2014,4/27/2018,1519,3.841342989
8700 S LAFAYETTE AVEN,20811,3/1/2014,4/27/2018,1519,13.70046083
8700 S VINCENNES,12918,3/1/2014,4/27/2018,1519,8.504279131
9500 S ASHLAND AVENUE,8418,3/1/2014,4/27/2018,1519,5.541803818
9500 S COTTAGE GROVE,1094,3/1/2014,3/5/2015,370,2.956756757
9500 S HALSTED STREET,6282,3/1/2014,4/27/2018,1519,4.135615537
9500 S JEFFERY AVE,3522,3/3/2014,4/27/2018,1517,2.321687541
9618 S EWING AVE,37539,7/14/2014,4/27/2018,1384,27.12355491
9900 S HALSTED ST,19379,3/1/2014,4/27/2018,1519,12.75773535
