Issue Date,State
2018-05-30,1389
2018-05-31,1144
2018-06-01,1402
2018-06-02,1624
2018-06-03,1507
2018-06-04,1296
2018-06-05,1366
2018-06-06,1330
2018-06-07,1489
2018-06-08,1652
2018-06-09,1910
2018-06-10,1488
2018-06-11,1374
2018-06-12,1601
2018-06-13,1285
2018-06-14,1707
2018-06-15,1757
2018-06-16,1999
2018-06-17,2004
2018-06-18,1634
2018-06-19,1642
2018-06-20,1571
2018-06-21,1708
2018-06-22,1714
2018-06-23,1264
2018-06-24,1717
2018-06-25,1598
2018-06-26,1581
2018-06-27,1209
2018-06-28,1423
2018-06-29,1945
2018-06-30,2073
2018-07-01,1731
2018-07-02,1560
2018-07-03,1414
2018-07-04,1257
2018-07-05,1517
2018-07-06,1226
2018-07-07,1817
2018-07-08,1803
2018-07-09,1556
2018-07-10,1523
2018-07-11,1433
2018-07-12,1640
2018-07-13,1759
2018-07-14,1866
2018-07-15,1469
2018-07-16,1592
2018-07-17,1385
2018-07-18,1572
2018-07-19,1840
2018-07-20,1842
2018-07-21,1590
2018-07-22,1470
2018-07-23,1322
2018-07-24,1469
2018-07-25,1180
2018-07-26,1574
2018-07-27,1600
2018-07-28,1691
2018-07-29,1686
2018-07-30,1245
2018-07-31,1520
2018-08-01,1433
2018-08-02,1513
2018-08-03,1588
2018-08-04,1761
2018-08-05,1926
2018-08-06,1592
2018-08-07,1436
2018-08-08,1512
2018-08-09,1690
2018-08-10,1658
2018-08-11,1216
2018-08-12,1443
2018-08-13,1105
2018-08-14,1419
2018-08-15,1720
2018-08-16,1637
2018-08-17,1601
2018-08-18,1612
2018-08-19,1153
2018-08-20,1169
2018-08-21,1532
2018-08-22,1493
2018-08-23,1776
2018-08-24,1846
2018-08-25,1892
2018-08-26,1591
2018-08-27,1453
2018-08-28,1537
2018-08-29,1629
2018-08-30,1737
2018-08-31,1347
2018-09-01,1633
2018-09-02,1746
2018-09-03,1497
2018-09-04,1566
2018-09-05,1542
2018-09-06,1542
2018-09-07,1290
2018-09-08,1412
2018-09-09,1196
2018-09-10,935
2018-09-11,1021
2018-09-12,1230
2018-09-13,1403
2018-09-14,1431
2018-09-15,1915
2018-09-16,1898
2018-09-17,1371
2018-09-18,1098
2018-09-19,1324
2018-09-20,1382
2018-09-21,1525
2018-09-22,1652
2018-09-23,1234
2018-09-24,1219
2018-09-25,861
2018-09-26,1423
2018-09-27,1510
2018-09-28,1418
2018-09-29,1961
2018-09-30,1807
2018-10-01,1259
2018-10-02,1327
2018-10-03,1634
2018-10-04,1431
2018-10-05,1744
2018-10-06,1457
2018-10-07,1312
2018-10-08,1094
2018-10-09,1286
2018-10-10,1502
2018-10-11,1168
2018-10-12,1747
2018-10-13,1569
2018-10-14,1453
2018-10-15,1127
2018-10-16,1464
2018-10-17,1626
2018-10-18,1631
2018-10-19,1633
2018-10-20,1744
2018-10-21,1725
2018-10-22,1139
2018-10-23,1251
2018-10-24,1491
2018-10-25,1653
2018-10-26,1464
2018-10-27,976
2018-10-28,1308
2018-10-29,1144
2018-10-30,1490
2018-10-31,1430
2018-11-01,1376
2018-11-02,1221
2018-11-03,1490
2018-11-04,1479
2018-11-05,924
2018-11-06,983
2018-11-07,1271
2018-11-08,1308
2018-11-09,1159
2018-11-10,1573
2018-11-11,1405
2018-11-12,1074
2018-11-13,1017
2018-11-14,1352
2018-11-15,776
2018-11-16,1276
2018-11-17,1313
2018-11-18,1158
2018-11-19,1254
2018-11-20,1271
2018-11-21,1328
2018-11-22,1521
2018-11-23,1256
2018-11-24,1023
2018-11-25,1202
2018-11-26,972
2018-11-27,1244
2018-11-28,1076
2018-11-29,1322
2018-11-30,1102
2018-12-01,1200
2018-12-02,868
2018-12-03,1108
2018-12-04,1355
2018-12-05,1201
2018-12-06,1309
2018-12-07,1396
2018-12-08,1385
2018-12-09,1117
2018-12-10,1262
2018-12-11,1114
2018-12-12,1124
2018-12-13,931
2018-12-14,1125
2018-12-15,1184
2018-12-16,832
2018-12-17,1094
2018-12-18,1284
2018-12-19,1294
2018-12-20,1125
2018-12-21,1125
2018-12-22,1297
2018-12-23,1450
2018-12-24,1161
2018-12-25,982
2018-12-26,1059
2018-12-27,1152
2018-12-28,792
2018-12-29,1222
2018-12-30,969
2018-12-31,959
2019-01-01,905
2019-01-02,952
2019-01-03,1016
2019-01-04,920
2019-01-05,737
2019-01-06,976
2019-01-07,939
2019-01-08,767
2019-01-09,1006
2019-01-10,1077
2019-01-11,1120
2019-01-12,1052
2019-01-13,940
2019-01-14,1081
2019-01-15,1079
2019-01-16,833
2019-01-17,1028
2019-01-18,881
2019-01-19,854
2019-01-20,665
2019-01-21,855
2019-01-22,1055
2019-01-23,859
2019-01-24,745
2019-01-25,1128
2019-01-26,1257
2019-01-27,996
2019-01-28,995
2019-01-29,766
2019-01-30,861
2019-01-31,940
2019-02-01,992
2019-02-02,1127
2019-02-03,1080
2019-02-04,1073
2019-02-05,1006
2019-02-06,973
2019-02-07,813
2019-02-08,1043
2019-02-09,1228
2019-02-10,1118
2019-02-11,862
2019-02-12,657
2019-02-13,1053
2019-02-14,1179
2019-02-15,1066
2019-02-16,1226
2019-02-17,1047
2019-02-18,787
2019-02-19,1016
2019-02-20,764
2019-02-21,1054
2019-02-22,1024
2019-02-23,1018
2019-02-24,808
2019-02-25,1133
2019-02-26,1094
2019-02-27,982
2019-02-28,1136
2019-03-01,957
2019-03-02,869
2019-03-03,849
2019-03-04,716
2019-03-05,992
2019-03-06,1000
2019-03-07,1061
2019-03-08,1146
2019-03-09,1322
2019-03-10,695
2019-03-11,1258
2019-03-12,1204
2019-03-13,1136
2019-03-14,1192
2019-03-15,1335
2019-03-16,1462
2019-03-17,1247
2019-03-18,1062
2019-03-19,1184
2019-03-20,1176
2019-03-21,887
2019-03-22,1130
2019-03-23,1346
2019-03-24,1352
2019-03-25,897
2019-03-26,1149
2019-03-27,1110
2019-03-28,1206
2019-03-29,1096
2019-03-30,1386
2019-03-31,1041
2019-04-01,899
2019-04-02,1100
2019-04-03,1299
2019-04-04,1327
2019-04-05,1013
2019-04-06,1406
2019-04-07,1368
2019-04-08,1028
2019-04-09,867
2019-04-10,1323
2019-04-11,1105
2019-04-12,1170
2019-04-13,1357
2019-04-14,1161
2019-04-15,1084
2019-04-16,1245
2019-04-17,1156
2019-04-18,980
2019-04-19,1186
2019-04-20,953
2019-04-21,1114
2019-04-22,902
2019-04-23,1099
2019-04-24,1118
2019-04-25,986
2019-04-26,857
2019-04-27,1402
2019-04-28,1027
2019-04-29,1035
2019-04-30,993
2019-05-01,1050
2019-05-02,1248
2019-05-03,1144
2019-05-04,1325
2019-05-05,1017
2019-05-06,1101
2019-05-07,1284
2019-05-08,1365
2019-05-09,1175
2019-05-10,1250
2019-05-11,1753
2019-05-12,1170
2019-05-13,945
2019-05-14,1053
2019-05-15,1316
2019-05-16,1393
2019-05-17,1574
2019-05-18,1885
2019-05-19,1599
2019-05-20,1345
2019-05-21,1605
2019-05-22,1531
2019-05-23,1362
2019-05-24,1786
2019-05-25,1665
2019-05-26,1523
2019-05-27,1356
2019-05-28,1161
2019-05-29,1339
2019-05-30,1185
2019-05-31,1803
2019-06-01,1702
2019-06-02,1678
2019-06-03,1514
2019-06-04,1584
2019-06-05,1444
2019-06-06,1567
2019-06-07,1745
2019-06-08,1921
2019-06-09,1644
2019-06-10,1003
2019-06-11,1563
2019-06-12,1582
2019-06-13,1331
2019-06-14,1803
2019-06-15,1946
2019-06-16,1710
2019-06-17,1237
2019-06-18,1204
2019-06-19,1244
2019-06-20,1349
2019-06-21,1637
2019-06-22,1917
2019-06-23,1871
2019-06-24,1356
2019-06-25,1286
2019-06-26,1745
2019-06-27,1876
2019-06-28,1903
2019-06-29,1792
2019-06-30,1848
2019-07-01,1710
2019-07-02,1569
2019-07-03,1621
2019-07-04,1390
2019-07-05,1278
2019-07-06,1271
2019-07-07,1558
2019-07-08,1394
2019-07-09,1514
2019-07-10,1625
2019-07-11,1468
2019-07-12,1908
2019-07-13,2047
2019-07-14,1911
2019-07-15,1656
2019-07-16,1597
2019-07-17,1455
2019-07-18,1329
2019-07-19,1592
2019-07-20,1751
2019-07-21,1548
2019-07-22,1326
2019-07-23,1092
2019-07-24,1531
2019-07-25,1523
2019-07-26,1680
2019-07-27,1985
2019-07-28,1694
2019-07-29,1415
2019-07-30,1403
2019-07-31,1283
2019-08-01,1418
2019-08-02,1484
2019-08-03,1524
2019-08-04,1430
2019-08-05,1321
2019-08-06,1225
2019-08-07,1047
2019-08-08,1452
2019-08-09,1565
2019-08-10,1767
2019-08-11,1439
2019-08-12,1405
2019-08-13,1031
2019-08-14,1090
2019-08-15,1475
2019-08-16,1321
2019-08-17,1463
2019-08-18,1386
2019-08-19,1239
2019-08-20,1290
2019-08-21,1156
2019-08-22,1357
2019-08-23,1146
2019-08-24,1639
2019-08-25,1537
2019-08-26,1416
2019-08-27,1229
2019-08-28,1075
2019-08-29,1515
2019-08-30,1440
2019-08-31,1572
2019-09-01,1452
2019-09-02,1018
2019-09-03,1419
2019-09-04,1219
2019-09-05,1169
2019-09-06,1017
2019-09-07,1406
2019-09-08,1301
2019-09-09,1203
2019-09-10,1181
2019-09-11,1326
2019-09-12,1134
2019-09-13,1344
2019-09-14,1169
2019-09-15,1395
2019-09-16,1019
2019-09-17,1266
2019-09-18,1256
2019-09-19,1254
2019-09-20,1371
2019-09-21,1420
2019-09-22,1373
2019-09-23,1127
2019-09-24,1077
2019-09-25,1232
2019-09-26,1278
2019-09-27,1406
2019-09-28,1450
2019-09-29,1483
2019-09-30,899
2019-10-01,940
2019-10-02,1009
2019-10-03,843
2019-10-04,1271
2019-10-05,1438
2019-10-06,859
2019-10-07,967
2019-10-08,882
2019-10-09,767
2019-10-10,1209
2019-10-11,1212
2019-10-12,1316
2019-10-13,1168
2019-10-14,931
2019-10-15,1077
2019-10-16,761
2019-10-17,936
2019-10-18,1291
2019-10-19,1252
2019-10-20,846
2019-10-21,992
2019-10-22,743
2019-10-23,1103
2019-10-24,1101
2019-10-25,954
2019-10-26,1176
2019-10-27,839
2019-10-28,843
2019-10-29,808
2019-10-30,850
2019-10-31,773
2019-11-01,1106
2019-11-02,1099
2019-11-03,965
2019-11-04,954
2019-11-05,856
2019-11-06,986
2019-11-07,782
2019-11-08,994
2019-11-09,1001
2019-11-10,797
2019-11-11,853
2019-11-12,742
2019-11-13,884
2019-11-14,845
2019-11-15,967
2019-11-16,1003
2019-11-17,884
2019-11-18,577
2019-11-19,879
2019-11-20,798
2019-11-21,1033
2019-11-22,828
2019-11-23,1006
2019-11-24,646
2019-11-25,942
2019-11-26,1064
2019-11-27,554
2019-11-28,1
2019-12-11,1
